z,temp,oxygen,solidflux,phi,density,temp_grad,xi_grad,j_grad,temp_fluc,xi_fluc,phi_fluc,density_fluc
1221500.0,-5079.148555345423,-19295.222613520527,-3.1116696442791384e-07,0.004977942341009262,255243982.47335812,-0.0013333470427582305,1.0535680716391428e-07,5.098497068737564e-13,1284.1674512721277,256507414.3052485,-1276874.5364951286,255231823.93620464
1221518.705574261,-5079.173493616738,-19295.222633595513,-3.1118431167197827e-07,0.0049780731367227785,255243949.1837142,-0.0013330617064411755,1.053403282844294e-07,5.09870450444293e-13,1284.1704651331486,256507414.5721216,-1276908.0877735277,255231790.6548132
1221537.4111485223,-5079.198426485812,-19295.222655479134,-3.1120243490108775e-07,0.0049782113749230845,255243914.0089471,-0.0013327790267166884,1.0532399854017467e-07,5.098924639437014e-13,1284.1734783412933,256507414.86303836,-1276943.548217887,255231755.4882988
1221556.1167227833,-5079.2233541117075,-19295.222675553316,-3.112198048713602e-07,0.004978342377665711,255243880.6661864,-0.001332493532465787,1.0530751184539999e-07,5.09913243565193e-13,1284.176490915785,256507415.12990078,-1276977.1526006889,255231722.153791
1221574.8222970446,-5079.248276674469,-19295.2226941042,-3.112371628773904e-07,0.004978473260134105,255243847.33412623,-0.0013322363657157776,1.0529261038700725e-07,5.099340029300403e-13,1284.1795028783824,256507415.37651274,-1277010.7260316224,255231688.82998398
1221593.5278713056,-5079.273194446354,-19295.222713159255,-3.112552768543089e-07,0.004978611392339159,255243812.14912972,-0.0013320062025046968,1.0527922004248831e-07,5.099559993070091e-13,1284.182514261989,256507415.6298271,-1277046.159100531,255231653.65324083
1221612.2334455668,-5079.29810772293,-19295.222731711656,-3.1127265754099154e-07,0.004978742481375975,255243778.7641018,-0.0013317488732764854,1.0526431039086915e-07,5.099767946348716e-13,1284.1855251023244,256507415.87645924,-1277079.7855178386,255231620.2764665
1221630.9390198279,-5079.323016777366,-19295.222748744516,-3.1129000004356156e-07,0.004978873198522595,255243745.45436546,-0.0013315200625879172,1.0525099655505319e-07,5.099975267798728e-13,1284.1885354324027,256507416.1028909,-1277113.3164423844,255231586.97498396
1221649.6445940891,-5079.347921792153,-19295.222764979582,-3.1130805603696e-07,0.004979010757115856,255243710.37919992,-0.00133134276786494,1.0524056498370763e-07,5.100194262554654e-13,1284.1915452742776,256507416.31871682,-1277148.602189688,255231551.9080724
1221668.3501683502,-5079.372822926857,-19295.222782016244,-3.1132542117656707e-07,0.004979141680425239,255243677.01663026,-0.0013311137901471817,1.052272425758331e-07,5.100401942930418e-13,1284.1945546472334,256507416.54519904,-1277182.185996692,255231518.553757
1221687.0557426114,-5079.397720343142,-19295.222797955943,-3.113427424858749e-07,0.00497927217770791,255243643.74882826,-0.0013309056188878236,1.0521508447355984e-07,5.100608899333646e-13,1284.1975635708077,256507416.7570984,-1277215.6604525244,255231485.29420945
1221705.7613168724,-5079.422614211133,-19295.22281215723,-3.11360729983744e-07,0.0049794090619530015,255243608.81973317,-0.0013307668677737389,1.0520681006148779e-07,5.100826753567289e-13,1284.2005720655604,256507416.94588766,-1277250.773090691,255231450.37336904
1221724.4668911335,-5079.447504703065,-19295.22282810239,-3.1137807390648023e-07,0.004979539765192644,255243575.4991727,-0.0013305585261109841,1.0519464310801357e-07,5.101034068527056e-13,1284.203580152307,256507417.15785962,-1277284.300376295,255231417.06106347
1221743.1724653945,-5079.472392016174,-19295.222842428288,-3.113953164028802e-07,0.004979669489829119,255243542.40821072,-0.001330381227011783,1.051842129753248e-07,5.10123971637509e-13,1284.2065878548838,256507417.34830543,-1277317.5765366908,255231383.9783566
1221761.8780396557,-5079.497276448897,-19295.222853627274,-3.114131284108816e-07,0.004979804673328917,255243507.8756526,-0.0013303000268129227,1.0517915871317209e-07,5.10145467813727e-13,1284.2095952093578,256507417.49718267,-1277352.2527240415,255231349.45405382
1221780.5836139168,-5079.522158325246,-19295.222867961107,-3.114303934751478e-07,0.0049799346035852565,255243474.73205155,-0.0013301225523524025,1.0516871931704183e-07,5.101660683882481e-13,1284.2126022548866,256507417.68773395,-1277385.5816278884,255231316.31870833
1221799.289188178,-5079.547037944746,-19295.222880684334,-3.114475258406656e-07,0.004980063255341867,255243441.8950889,-0.0013299763488597751,1.0516002940030384e-07,5.101864510717286e-13,1284.2156090276687,256507417.85687414,-1277418.5824816686,255231283.49000147
1221817.994762439,-5079.571915507573,-19295.22288889887,-3.1146510424558725e-07,0.004980196180980625,255243407.90220812,-0.0013299531206637464,1.0515821849638022e-07,5.102075629091269e-13,1284.2186155518964,256507417.96607664,-1277452.6793155314,255231249.50537667
1221836.7003367003,-5079.596791188733,-19295.222901632525,-3.114822591328882e-07,0.004980325038057413,255243375.01271656,-0.0013298067368511608,1.051495189031026e-07,5.102279813193495e-13,1284.221621848719,256507418.1353555,-1277485.732836042,255231216.6241413
1221855.4059109613,-5079.621665165583,-19295.22291321132,-3.114992978930796e-07,0.004980452775784481,255243342.3950689,-0.0013296831839056768,1.0514209658620303e-07,5.102482090069537e-13,1284.2246279395708,256507418.28928182,-1277518.499159657,255231184.0147501
1221874.1114852226,-5079.646537624875,-19295.222919289306,-3.1151667343989436e-07,0.004980583739019574,255243308.87729454,-0.0013297022505978408,1.0514265183364315e-07,5.102689869270131e-13,1284.2276338470217,256507418.37008142,-1277552.0924828656,255231150.5052324
1221892.8170594836,-5079.671408755696,-19295.222930880347,-3.115337346983304e-07,0.004980711681960122,255243276.2071695,-0.0013295785136392992,1.0513521953483121e-07,5.102892503133524e-13,1284.230639593923,256507418.52417055,-1277584.9114459523,255231117.8433642
1221911.5226337446,-5079.696278774617,-19295.22294076302,-3.1155058086702387e-07,0.004980837556417733,255243244.04502568,-0.0013294888761504402,1.0512969472106412e-07,5.103091609738886e-13,1284.2336452064478,256507418.65554893,-1277617.1997166453,255231085.68947747
1221930.2282080057,-5079.721148009563,-19295.22294367812,-3.1156756973765585e-07,0.004980964794535792,255243211.4409296,-0.001329571162243114,1.0513378622922649e-07,5.103293040862624e-13,1284.236650724227,256507418.69430175,-1277649.8373137729,255231053.09363872
1221948.933782267,-5079.746016816637,-19295.222953575743,-3.1158443835785013e-07,0.0049810908740104244,255243179.22639474,-0.001329481335329454,1.0512825098300783e-07,5.103492503914879e-13,1284.2396561902972,256507418.82587892,-1277682.1781737087,255231020.88736138
1221967.639356528,-5079.770885525073,-19295.222961779466,-3.116010543413754e-07,0.004981214525156289,255243147.6123355,-0.0013294258829809923,1.0512463847943476e-07,5.103687825426598e-13,1284.2426616444461,256507418.93493766,-1277713.8960393996,255230989.2815599
1221986.3449307892,-5079.795754354996,-19295.2229615605,-3.116175867686098e-07,0.004981337369873443,255243116.09371832,-0.0013295718959947024,1.0513229425529087e-07,5.103881767374801e-13,1284.245667113277,256507418.93202674,-1277745.4064931534,255230957.7712007
1222005.0505050505,-5079.8206234988165,-19295.222969781917,-3.11634225159255e-07,0.0049814612259098815,255243084.427337,-0.0013295162487933776,1.0512867086670356e-07,5.10407744487735e-13,1284.2486726200436,256507419.04132074,-1277777.1769158198,255230926.11307755
1222023.7560793117,-5079.845493151641,-19295.22297679887,-3.1165065584635416e-07,0.004981583084892008,255243053.25728068,-0.0013294857350601601,1.0512645324917265e-07,5.104269716834418e-13,1284.2516781883248,256507419.1346028,-1277808.4350013386,255230894.95127964
1222042.461653573,-5079.870363519233,-19295.22297435648,-3.1166681524706355e-07,0.004981702337201757,255243022.63072833,-0.0013296783100464789,1.0513671291818488e-07,5.104457536274038e-13,1284.254683842988,256507419.1021341,-1277839.0238320231,255230864.33298594
1222061.167227834,-5079.895234810023,-19295.222981393126,-3.116832683175571e-07,0.004981824401083439,255242991.4083742,-0.00132964759743362,1.0513448408178224e-07,5.104650164050141e-13,1284.2576896092216,256507419.195678,-1277870.334476944,255230833.11889064
1222079.872802095,-5079.920107262783,-19295.222986638986,-3.116993609720661e-07,0.0049819430036837364,255242961.05017334,-0.0013296545008381123,1.0513435905545465e-07,5.104836886903332e-13,1284.2606955158828,256507419.26541546,-1277900.7571621165,255230802.76894885
1222098.578376356,-5079.9449812394,-19295.22298088603,-3.11714863704873e-07,0.004982055944414439,255242931.99879104,-0.0013299168165732307,1.0514851867406437e-07,5.105013941993273e-13,1284.2637016067067,256507419.18893674,-1277929.726812501,255230773.72582585
1222117.2839506173,-5079.96985713296,-19295.222986154567,-3.1173097869590686e-07,0.0049821747518966975,255242901.58833656,-0.0013299235151797248,1.0514838193480264e-07,5.105201020299586e-13,1284.2667079291984,256507419.25897568,-1277960.2020527453,255230743.32363087
1222135.9895248783,-5079.99473530697,-19295.222989653554,-3.117466876053908e-07,0.004982289660672881,255242872.1545187,-0.001329968165249861,1.0515036762376578e-07,5.105381446805353e-13,1284.2697145272894,256507419.30549055,-1277989.6771323567,255230713.89807272
1222154.6950991396,-5080.019616004532,-19295.222980631635,-3.1176144882218946e-07,0.004982395477630317,255242844.88719025,-0.0013303008410181115,1.0516846140765255e-07,5.105546350356388e-13,1284.2727214303584,256507419.18555486,-1278016.819272061,255230686.63900423
1222173.4006734006,-5080.044499438115,-19295.222984156324,-3.1177718002564857e-07,0.0049825105913619775,255242815.40114015,-0.0013303452803198855,1.0517043488521381e-07,5.105727132075589e-13,1284.2757286640835,256507419.2324114,-1278046.3469257888,255230657.1612143
1222192.1062476619,-5080.069385823055,-19295.222986440178,-3.117925877054251e-07,0.004982622598497368,255242786.6955391,-0.0013304174302195481,1.0517395794057843e-07,5.105902613804722e-13,1284.2787362544884,256507419.26277256,-1278075.0776352042,255230628.46387362
1222210.811821923,-5080.094275386037,-19295.222975133034,-3.1180676069980193e-07,0.004982722762985107,255242760.8478783,-0.0013308014440323943,1.0519492170913213e-07,5.106057876369185e-13,1284.2817442289688,256507419.11245748,-1278100.7697282808,255230602.62447345
1222229.5173961842,-5080.119168356567,-19295.22297744479,-3.1182219065125536e-07,0.0049828349752311495,255242732.09003448,-0.001330873378769786,1.0519843218738544e-07,5.106233713303957e-13,1284.2847526152607,256507419.14318958,-1278129.5530517527,255230573.87489045
1222248.2229704452,-5080.144064997647,-19295.222977902693,-3.1183707624053475e-07,0.0049829419639753755,255242704.647531,-0.0013309867798317586,1.0520426141208493e-07,5.106400636554032e-13,1284.2877614451493,256507419.14927682,-1278156.996390266,255230546.44064802
1222266.9285447064,-5080.168965708418,-19295.222963173837,-3.1185025085229544e-07,0.004983032544880485,255242681.21286127,-0.0013314476746740917,1.0522952329137217e-07,5.106539547074999e-13,1284.290770766872,256507418.95347416,-1278180.2300053935,255230523.01423955
1222285.6341189675,-5080.193870922578,-19295.222963662938,-3.1186515867114445e-07,0.004983139738961623,255242653.71810088,-0.0013315608540621136,1.0523533939469566e-07,5.106706825466103e-13,1284.2937806328414,256507418.9599762,-1278207.726016207,255230495.52774063
1222304.3396932285,-5080.218781041276,-19295.222962327018,-3.118794663045856e-07,0.00498324117503529,255242627.67616656,-0.0013317159108857638,1.0524349707743407e-07,5.106864277420397e-13,1284.2967910915386,256507418.94221672,-1278233.7449397857,255230469.49406803
1222323.0452674895,-5080.24369633282,-19295.22294423236,-3.118915388236992e-07,0.004983321180079515,255242606.90975368,-0.0013322544461752358,1.0527309907258664e-07,5.106985140963983e-13,1284.2998021753888,256507418.7016697,-1278254.2655548186,255230448.73591706
1222341.7508417508,-5080.268617031645,-19295.22294293096,-3.11905868646839e-07,0.0049834228217835955,255242580.81553137,-0.0013324092747611877,1.0528124308478126e-07,5.1071429480991e-13,1284.302813912724,256507418.68436915,-1278280.3372261922,255230422.64995688
